,username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude,result,cluster_result,province
13,@masterilmi83, 2018-01-02, 05:59,@masterilmi83<br>@masterilmi83<br>@masterilmi83<br>@masterilmi83<br>@masterilmi83<br>@masterilmi83<br>@masterilmi83<br>@masterilmi83<br> Berhubungan liburan terlalu panjang ditambah habis kena musibah dan sekarang diare  mohong dengan sangat amat agar dip,9.48E+17, c97b6b8dbc1245fc, Genteng, Genteng Indonesia,114.1545643,-8.34205,kait libur habis kena musibah diare mohon kenan libur besok masuk sabtu hehe,4,Jatim
14,@abangadekan, 2018-01-02, 00:15,@abangadekan<br>@abangadekan<br>@abangadekan<br>@abangadekan<br>@abangadekan<br>@abangadekan<br>@abangadekan<br>@abangadekan<br> Tiba tiba mules euy <br> 00:15 -  2018-01-02 dari  Gambir Indonesia<br> 00:15 -  2018-01-02 dari  Gambir Indonesia<br> 00:15 -,9.48E+17, 25f5e9dbc1b635ac, Gambir, Gambir Indonesia,106.8260558,-6.168961,mulas euy,3,JKT
15,@irosmadewi, 2018-01-02, 09:01,"@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br> . Takdirnya  ""kabita""  pengen juice alpukat dan kemudian endingnya batuk dan mules @REALHUQMY10… https://www.instagram.com/p/Bdbfic6",9.48E+17, 2c0294c5eab821c9, Coblong, Coblong Indonesia,107.6142103,-6.88176745,takdir kabita jus avokad plot batuk mulas realhuqmy,3,Jabar
16,@nopem_upil, 2018-01-02, 16:30,@nopem_upil<br>@nopem_upil<br>@nopem_upil<br>@nopem_upil<br>@nopem_upil<br>@nopem_upil<br>@nopem_upil<br>@nopem_upil<br> Tunggu sampe mencret aja biar gg usah ngeden hahaha<br> 16:30 -  2018-01-02 dari  Muara Bangka Hulu Indonesia<br> 16:30 -  2018-01-02 ,9.48E+17, 5121473bdca5dd94, Muara Bangka Hulu, Muara Bangka Hulu Indonesia,102.2989625,-3.770094,tunggu mencret biar gg ngeden hahaha,5,Bengkulu
17,@KayuagungRadio, 2018-01-02, 08:02,@KayuagungRadio<br>@KayuagungRadio<br>@KayuagungRadio<br>@KayuagungRadio<br>@KayuagungRadio<br>@KayuagungRadio<br>@KayuagungRadio<br>@KayuagungRadio<br> Cara Cepat Sembuhkan Diare http://www.kayuagung.com/2017/12/cara-cepat-sembuhkan-diare.html …<br> 08,9.48E+17, 5121473bdca5dd94, Muara Bangka Hulu, Muara Bangka Hulu Indonesia,102.2989625,-3.770094,cepat sembuh diare,4,Bengkulu
18,@novia_178, 2018-01-02, 00:10,@novia_178<br>@novia_178<br>@novia_178<br>@novia_178<br>@novia_178<br>@novia_178<br>@novia_178<br>@novia_178<br> Temakan jua akhirnya mie letus.. Walaupun akhirnya sakit perut.. @ Banjarmasin https://www.instagram.com/p/Bdaiui0Fm35/ <br> 00:10 -  2018-01-,9.48E+17, 67ee4e65b49cb758, Kalimantan Selatan, Kalimantan Selatan Indonesia,115.5159942,-2.74566825,temak jua kopyok letus sakit perut banjar,2,Kalsel
19,@ridzky__, 2018-01-02, 09:55,@ridzky__<br>@ridzky__<br>@ridzky__<br>@ridzky__<br>@ridzky__<br>@ridzky__<br>@ridzky__<br>@ridzky__<br> yaaaaaa sudah 5 kali ke km tp masih mules jg<br> 09:55 -  2018-01-02 dari  Banyudono Indonesia<br> 09:55 -  2018-01-02 dari  Banyudono Indonesia<br> 0,9.48E+17, 7bfe8fb3236f3c41, Banyudono, Banyudono Indonesia,110.6972761,-7.5370065,yaaaaaa kali km mulas jg,3,Jateng
20,@RizqiFitriaaa, 2018-01-02, 09:06,@RizqiFitriaaa<br>@RizqiFitriaaa<br>@RizqiFitriaaa<br>@RizqiFitriaaa<br>@RizqiFitriaaa<br>@RizqiFitriaaa<br>@RizqiFitriaaa<br>@RizqiFitriaaa<br> oke hari kedua di tahun 2018 air pam di rumah mati dan ku mules. apakah ini suatu pertanda awal tahun diawali ,9.48E+17, 6791341b86965709, Majalaya, Majalaya Indonesia,107.7479931,-7.0345405,oke air paip rumah mati mulas tanda mulas,3,Jabar
21,@irosmadewi, 2018-01-02, 09:06,"@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br> . .. Takdirnya  ""kabita""  pengen juice alpukat dan kemudian endingnya batuk dan mules… https://www.instagram.com/p/BdbgB0dliq-/ <br>",9.48E+17, 2c0294c5eab821c9, Coblong, Coblong Indonesia,107.6142103,-6.88176745,takdir kabita jus avokad plot batuk cape,3,Jabar
22,@irosmadewi, 2018-01-02, 09:11,"@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br>@irosmadewi<br> . Takdirnya  ""kabita""  pengen juice alpukat dan kemudian endingnya batuk dan mules @REALHUQMY10… https://www.instagram.com/p/BdbgsHl",9.48E+17, 2c0294c5eab821c9, Coblong, Coblong Indonesia,107.6142103,-6.88176745,takdir kabita jus avokad plot batuk mulas realhuqmy,3,Jabar
23,@bangemhafidz, 2018-01-03, 06:54,@bangemhafidz<br>@bangemhafidz<br>@bangemhafidz<br>@bangemhafidz<br>@bangemhafidz<br>@bangemhafidz<br>@bangemhafidz<br>@bangemhafidz<br> Seribut-ributnya partai dan paslon  bikin kita sakit perut  lucu  habis itu baikkan dan membiarkan pendukungnya saling,9.48E+17, b2550dffaa151c81, Semin, Semin Indonesia,110.7417307,-7.8594775,ribut ribut partai nara sakit perut lucu habis biar dukung hujat media,2,DIY
24,@fitryfee3, 2018-01-03, 13:40,@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br> Maag + diare plus my period. Malah di-enema kopi. Bayanginlah itu mulesnya kayak apa... <br> 13:40 -  2018-01-03 dari  Lemahabang Indonesia<br,9.48E+17, 420f122b6bea262c, Lemahabang, Lemahabang Indonesia,107.184287,-6.2976855,gastritis diare plus jap start laksatif kopi dingin lemes,4,Jabar
25,@mrsnurianto_, 2018-01-03, 10:26,@mrsnurianto_<br>@mrsnurianto_<br>@mrsnurianto_<br>@mrsnurianto_<br>@mrsnurianto_<br>@mrsnurianto_<br>@mrsnurianto_<br>@mrsnurianto_<br> Tiap tahun selalu begini. Maag plus diare sangking kebanyakan brenebon sama babi. Emang dasar babi.. <br> 10:26 -  201,9.48E+17, a16960bb7a9f824c, Wenang, Wenang Indonesia,124.8744986,1.47326055,gastritis plus diare saking rebon babi dasar babi,4,Sulut
26,@asmeemilan, 2018-01-03, 12:14,@asmeemilan<br>@asmeemilan<br>@asmeemilan<br>@asmeemilan<br>@asmeemilan<br>@asmeemilan<br>@asmeemilan<br>@asmeemilan<br> Sandra dewi lagi mules-mules pembukaan tiga ajah masih tjakep gitu.<br> 12:14 -  2018-01-03 dari  Tanjung Priok Indonesia<br> 12:14 - ,9.48E+17, 849e167064f094d2, Tanjung Priok, Tanjung Priok Indonesia,106.8778693,-6.1299044,sandung dewi mulas mulas buka tjakep,3,JKT
27,@nitha_kaka22, 2018-01-03, 07:49,@nitha_kaka22<br>@nitha_kaka22<br>@nitha_kaka22<br>@nitha_kaka22<br>@nitha_kaka22<br>@nitha_kaka22<br>@nitha_kaka22<br>@nitha_kaka22<br> Kelakuan hanyang n om kaist bikin sakit perut kak  <br> 07:49 -  2018-01-03 dari  Cirebon Utara Indonesia<br> 07:49 - ,9.48E+17, 5dbc34a8e425f76e, Cirebon Utara, Cirebon Utara Indonesia,108.5364226,-6.6801015,laku n om kaisar sakit perut kak,2,Jabar
28,@azizramlieadam, 2018-01-03, 23:32,"@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br> Jangan kebanyakan  ntar mencret.   Gue jadi pengen bikin gituan juga. Tapi ""Cicil Skripsi"" gue ganti j",9.49E+17, 62f9f7941af63107, Tebet, Tebet Indonesia,106.8568556,-6.2258419,entar mencret cicil skripsi ganti cicil asa doi,5,JKT
29,@adelliam__, 2018-01-03, 22:09,@adelliam__<br>@adelliam__<br>@adelliam__<br>@adelliam__<br>@adelliam__<br>@adelliam__<br>@adelliam__<br>@adelliam__<br> masa nahan ngantuk jadi sakit perut ginj<br> 22:09 -  2018-01-03 dari  Padang Barat Indonesia<br> 22:09 -  2018-01-03 dari  Padang Bar,9.49E+17, c34269d2824fd138, Padang Barat, Padang Barat Indonesia,100.3587568,-0.9457322,tahan antuk sakit perut ginjal,2,Sumbar
30,@DidiCahya, 2018-01-03, 08:06,@DidiCahya<br>@DidiCahya<br>@DidiCahya<br>@DidiCahya<br>@DidiCahya<br>@DidiCahya<br>@DidiCahya<br>@DidiCahya<br> Siap2 mencret ya kalau ngelibatin aku dlm Tim...<br> 08:06 -  2018-01-03 dari  Rungkut Indonesia<br> 08:06 -  2018-01-03 dari  Rungkut Indones,9.48E+17, a933df63601f2338, Rungkut, Rungkut Indonesia,112.8040266,-7.314341,mencret batin tim,5,Jatim
31,@inginkurus_, 2018-01-03, 22:44,@inginkurus_<br>@inginkurus_<br>@inginkurus_<br>@inginkurus_<br>@inginkurus_<br>@inginkurus_<br>@inginkurus_<br>@inginkurus_<br> Tuhan bersama orang yang enak-enak nonton film terus mules dadakan <br> 22:44 -  2018-01-03 dari  Pakis Indonesia<br> 22:44 - ,9.49E+17, ac26e62c305026f8, Pakis, Pakis Indonesia,112.6952144,-7.9612845,tuhan orang enak enak tonton film mulas dada,3,Jatim
32,@iskandarjet, 2018-01-03, 22:47,@iskandarjet<br>@iskandarjet<br>@iskandarjet<br>@iskandarjet<br>@iskandarjet<br>@iskandarjet<br>@iskandarjet<br>@iskandarjet<br> Bikin mules ndoro.. lantik orangnya kurang surpei<br> 22:47 -  2018-01-03 dari  Jagakarsa Indonesia<br> 22:47 -  2018-01-03 da,9.49E+17, 4cb9dedf236475ad, Jagakarsa, Jagakarsa Indonesia,106.8279515,-6.332802,mulas ndoro lantik orang surplus,3,JKT
33,@BMudiono, 2018-01-04, 07:38,@BMudiono<br>@BMudiono<br>@BMudiono<br>@BMudiono<br>@BMudiono<br>@BMudiono<br>@BMudiono<br>@BMudiono<br> Apa ga mules tuh cing?<br> 07:38 -  2018-01-04 dari  Koja Indonesia<br> 07:38 -  2018-01-04 dari  Koja Indonesia<br> 07:38 -  2018-01-04 dari  Koja In,9.49E+17, 6f2e900996f3ee5a, Koja, Koja Indonesia,106.911463,-6.1202884,mulas cing,3,JKT
34,@Nuelsitanggang, 2018-01-04, 07:27,@Nuelsitanggang<br>@Nuelsitanggang<br>@Nuelsitanggang<br>@Nuelsitanggang<br>@Nuelsitanggang<br>@Nuelsitanggang<br>@Nuelsitanggang<br>@Nuelsitanggang<br> Diketawain orang kampung sini kalo tau disana pada beli air mentah setengah juta lebih karena embel-em,9.49E+17, 62085bb964749eb8, Medan Johor, Medan Johor Indonesia,98.65854373,3.53873075,tawa orang kampung beli air mentah juta embel embel alami diare alami oke,4,Sumut
35,@CoklatHangatt, 2018-01-04, 06:20,@CoklatHangatt<br>@CoklatHangatt<br>@CoklatHangatt<br>@CoklatHangatt<br>@CoklatHangatt<br>@CoklatHangatt<br>@CoklatHangatt<br>@CoklatHangatt<br> Teh hijau sukses buat mules dan males sarapan...<br> 06:20 -  2018-01-04 dari  Ilir Barat I Indonesia<br> 06:2,9.49E+17, cf1c1c15bb686413, Ilir Barat I, Ilir Barat I Indonesia,104.6984523,-2.9714635,teh hijau sukses mulas malas sarap,3,Sumsel
36,@Mobistrimi, 2018-01-04, 09:47,@Mobistrimi<br>@Mobistrimi<br>@Mobistrimi<br>@Mobistrimi<br>@Mobistrimi<br>@Mobistrimi<br>@Mobistrimi<br>@Mobistrimi<br> Jd inget istilah jajanan jaman lawas bang...gomen  gopek mencret <br> 09:47 -  2018-01-04 dari  Tamansari Indonesia<br> 09:47 -  2018-,9.49E+17, 7c6372d4d321b256, Tamansari, Tamansari Indonesia,106.8239976,-6.14541935,jd istilah jajan jaman lawas kagum gopek mencret,5,JKT
37,@ununulil, 2018-01-04, 00:37,@ununulil<br>@ununulil<br>@ununulil<br>@ununulil<br>@ununulil<br>@ununulil<br>@ununulil<br>@ununulil<br> jibrug  banjir dan mencret yaituh kombinasi yg sangat fareasi.<br> 00:37 -  2018-01-04 dari  Padalarang 1 Indonesia<br> 00:37 -  2018-01-04 dari  Pada,9.49E+17, f0e3be87736a7a05, Padalarang 1, Padalarang 1 Indonesia,107.6025483,-6.974098,jibrug banjir mencret kombinasi rekreasi,5,Jabar
38,@Md_Rina, 2018-01-04, 11:32,@Md_Rina<br>@Md_Rina<br>@Md_Rina<br>@Md_Rina<br>@Md_Rina<br>@Md_Rina<br>@Md_Rina<br>@Md_Rina<br> mules liat revisian segini banyaknya. Berasa jadi cinderella upik abu<br> 11:32 -  2018-01-04 dari  Rungkut Indonesia<br> 11:32 -  2018-01-04 dari  Rungkut In,9.49E+17, a933df63601f2338, Rungkut, Rungkut Indonesia,112.8040266,-7.314341,mulas liat revisi gin asa main upik abu,3,Jatim
39,@riasnurulsuci, 2018-01-04, 07:32,@riasnurulsuci<br>@riasnurulsuci<br>@riasnurulsuci<br>@riasnurulsuci<br>@riasnurulsuci<br>@riasnurulsuci<br>@riasnurulsuci<br>@riasnurulsuci<br> Ternyata mungkin mules masuk angin<br> 07:32 -  2018-01-04 dari  Katapang Indonesia<br> 07:32 -  2018-01-04 da,9.49E+17, a1ef5f877e4cf7d5, Katapang, Katapang Indonesia,107.5569679,-7.0024565,mulas masuk angin,3,Jabar
40,@dzikriapratama, 2018-01-04, 12:29,@dzikriapratama<br>@dzikriapratama<br>@dzikriapratama<br>@dzikriapratama<br>@dzikriapratama<br>@dzikriapratama<br>@dzikriapratama<br>@dzikriapratama<br> lakoni ae seng onok.. aku tak ngeseng sek.. (mendadak mules) <br> 12:29 -  2018-01-04 dari  Lowokwaru ,9.49E+17, 31569f33fbe4e733, Lowokwaru, Lowokwaru Indonesia,112.6068496,-7.943315,lakon ae seng upam seng sek dadak mulas,3,Jatim
41,@ri2ndrie, 2018-01-04, 09:44,@ri2ndrie<br>@ri2ndrie<br>@ri2ndrie<br>@ri2ndrie<br>@ri2ndrie<br>@ri2ndrie<br>@ri2ndrie<br>@ri2ndrie<br> Badan mendadak menggigil  dingin sampe menusuk tulang! Tapi muka panas kaya kebakar  demam! Mual  sakit perut!  Ini gejala opo yo?  <br> 09:44 -  2018,9.49E+17, 59e031efd725e302, Bekasi, Bekasi Jawa Barat,107.1379062,-6.1992165,badan dadak gigil dingin tusuk tulang muka panas kaya bakar demam mual sakit perut gejala opo yo,2,Jabar
42,@wieratam4, 2018-01-04, 13:29,@wieratam4<br>@wieratam4<br>@wieratam4<br>@wieratam4<br>@wieratam4<br>@wieratam4<br>@wieratam4<br>@wieratam4<br> Mules pak lik  iyo pak lik<br> 13:29 -  2018-01-04 dari  Tempel Indonesia<br> 13:29 -  2018-01-04 dari  Tempel Indonesia<br> 13:29 -  2018-01-,9.49E+17, 5b36eee86ae311f6, Tempel, Tempel Indonesia,110.3225613,-7.659918,mulas lik mok lik,3,DIY
43,@rhssa_, 2018-01-04, 02:13,@rhssa_<br>@rhssa_<br>@rhssa_<br>@rhssa_<br>@rhssa_<br>@rhssa_<br>@rhssa_<br>@rhssa_<br> Memutuskan baca novel aja karena nggak sengaja ngestalking terus kadi sakit perut. Oh ah oh anu<br> 02:13 -  2018-01-04 dari  Cimahi Selatan Indonesia<br> 02:13 -  20,9.49E+17, c3d9538999c8f655, Cimahi Selatan, Cimahi Selatan Indonesia,107.5366789,-6.90685655,putus baca novel sengaja ngestalking kadi sakit perut oh ah oh anu,2,Jabar
44,@dwiiaprillia, 2018-01-04, 19:26,@dwiiaprillia<br>@dwiiaprillia<br>@dwiiaprillia<br>@dwiiaprillia<br>@dwiiaprillia<br>@dwiiaprillia<br>@dwiiaprillia<br>@dwiiaprillia<br> Masih kebayang-bayang bagian akhir film AAC2 tadi  gak terlalu nakutin tapi bagiku bikin mules.<br> 19:26 -  2018-01-0,9.49E+17, 36cb70a6b6dc142a, Borobudur, Borobudur Indonesia,110.192072,-7.612787,bayang bayang film kep takut mulas,3,Jateng
45,@retnoyuliantika, 2018-01-04, 15:01,@retnoyuliantika<br>@retnoyuliantika<br>@retnoyuliantika<br>@retnoyuliantika<br>@retnoyuliantika<br>@retnoyuliantika<br>@retnoyuliantika<br>@retnoyuliantika<br> Abis makan  mules. Abis ngopi  mules. Heran gue!<br> 15:01 -  2018-01-04 dari  Gambir Indonesi,9.49E+17, 25f5e9dbc1b635ac, Gambir, Gambir Indonesia,106.8260558,-6.168961,abis makan mulas abis kopi mulas heran,0,JKT
46,@sylvia_soekotjo, 2018-01-04, 16:56,@sylvia_soekotjo<br>@sylvia_soekotjo<br>@sylvia_soekotjo<br>@sylvia_soekotjo<br>@sylvia_soekotjo<br>@sylvia_soekotjo<br>@sylvia_soekotjo<br>@sylvia_soekotjo<br> Kalau ngga karena diare  mana sanggup turun 3kg hanya dalam waktu kurang dr 48 jam.<br> 16:56 ,9.49E+17, d753c2420f2a8da5, Cilandak, Cilandak Indonesia,106.8022659,-6.29272805,diare sanggup turun gram sport jam,4,JKT
47,@LaLuz22, 2018-01-04, 16:29,@LaLuz22<br>@LaLuz22<br>@LaLuz22<br>@LaLuz22<br>@LaLuz22<br>@LaLuz22<br>@LaLuz22<br>@LaLuz22<br> Selemah lemahnya umat lah gue. Kipas anginan dikit langsung masuk angin mules-mules <br> 16:29 -  2018-01-04 dari  Kajen Indonesia<br> 16:29 -  2018-01-04 dar,9.49E+17, 65d663f269ad2f97, Kajen, Kajen Indonesia,109.5709263,-7.056435,lemah lemah umat kipas angin dikit langsung masuk angin mulas mulas,3,Jateng
48,@ArthelianaSH, 2018-01-04, 20:39,@ArthelianaSH<br>@ArthelianaSH<br>@ArthelianaSH<br>@ArthelianaSH<br>@ArthelianaSH<br>@ArthelianaSH<br>@ArthelianaSH<br>@ArthelianaSH<br> Sudah mapan dikasur  selimutan dan siap tidur. Tiba-tiba mules adalah sebenar-benarnya ujian hidup.<br> 20:39 -  2018-,9.49E+17, 2085497e9f491e5a, Cianjur, Cianjur Jawa Barat,107.077541,-7.0488185,mapan kasur limut tidur mulas uji hidup,3,Jabar
49,@miawariesta, 2018-01-04, 20:40,@miawariesta<br>@miawariesta<br>@miawariesta<br>@miawariesta<br>@miawariesta<br>@miawariesta<br>@miawariesta<br>@miawariesta<br> Krl ketahan di middle of nowhere gaada stasiun terdekat dan gue diare. Nggak ada batu :(<br> 20:40 -  2018-01-04 dari  Matrama,9.49E+17, 6c1ede2df1be1e0d, Matraman, Matraman Indonesia,106.8710588,-6.20433,bis tahan middle of buku stasiun diare batu,4,JKT
50,@natad_, 2018-01-05, 06:53,@natad_<br>@natad_<br>@natad_<br>@natad_<br>@natad_<br>@natad_<br>@natad_<br>@natad_<br> aduh diare<br> 06:53 -  2018-01-05 dari  Grogol Petamburan Indonesia<br> 06:53 -  2018-01-05 dari  Grogol Petamburan Indonesia<br> 06:53 -  2018-01-05 dari  Grogol Pe,9.49E+17, 2cd5efeb7102867f, Grogol Petamburan, Grogol Petamburan Indonesia,106.7907021,-6.1618445,aduh diare,4,JKT
51,@baypraz, 2018-01-05, 05:47,@baypraz<br>@baypraz<br>@baypraz<br>@baypraz<br>@baypraz<br>@baypraz<br>@baypraz<br>@baypraz<br> Jarang banget kebangun pagi langsung mules kebelet pup.   Selamat pagii!!<br> 05:47 -  2018-01-05 dari  Kartosuro Indonesia<br> 05:47 -  2018-01-05 dari  Kart,9.49E+17, a15ecd30e108f0f5, Kartosuro, Kartosuro Indonesia,110.7490578,-7.55958515,jarang bangun pagi langsung mulas kebelet bab selamat pagi,1,Jateng
52,@jaeminnamon, 2018-01-05, 05:36,@jaeminnamon<br>@jaeminnamon<br>@jaeminnamon<br>@jaeminnamon<br>@jaeminnamon<br>@jaeminnamon<br>@jaeminnamon<br>@jaeminnamon<br> KNP INI GUE SAKIT PERUT JUGA AH<br> 05:36 -  2018-01-05 dari  Jatiasih Indonesia<br> 05:36 -  2018-01-05 dari  Jatiasih Indone,9.49E+17, 8cee089b23296e32, Jatiasih, Jatiasih Indonesia,106.953328,-6.295911,sakit perut ah,2,Jabar
