,username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude,result
10,@azizramlieadam, 2018-01-02, 12:56, Entah kenapa sekarang  tiap kepentok nulis  serasa kehabisan ide  malah jadi mules. Semacam toilet dapat melancarkan kinerja otak.,948070494300807168, 25f5e9dbc1b635ac, Gambir, Gambir Indonesia,106.82605578723835,-6.168961,bentok tulis serasa habis ide mulas toilet lancar kerja otak
11,@ambar_raissa, 2018-01-02, 10:29, Sakit perut yang berkelanjutan hadeuhh ,948033537608843264, d298c6b067d4d37c, Subang, Subang Indonesia,107.75942815193193,-6.5616575,sakit perut sambung hadeuhh
12,@siraul_ebat, 2018-01-02, 18:38," Yeee  saya rerata begitu  Mbak! Haha... °@nieke_aereta: Ada gak yg pas bangun tidur ngopi trus langsung mules?""",948156435753345024, 61df56838b27d814, Teluk Bintan, Teluk Bintan Indonesia,104.49443853336305,0.917171,yeee rerata mbak haha reta yg pas bangun tidur kopi kalo langsung mulas
13,@masterilmi83, 2018-01-02, 05:59, Berhubungan liburan terlalu panjang ditambah habis kena musibah dan sekarang diare  mohong dengan sangat amat agar diperbolehkan perpanjangan liburan satu hari saja . . . . . Ya kalo besok masih kurang masuknya lusanya lagi hehe,947965410053206016, c97b6b8dbc1245fc, Genteng, Genteng Indonesia,114.15456428035479,-8.34205,hubung libur habis kena musibah diare mohon kenan libur ya kalo besok masuk sabtu hehe
14,@abangadekan, 2018-01-02, 00:15, Tiba tiba mules euy ,947878853921214464, 25f5e9dbc1b635ac, Gambir, Gambir Indonesia,106.82605578723835,-6.168961,mulas euy
15,@irosmadewi, 2018-01-02, 09:01," . Takdirnya  ""kabita""  pengen juice alpukat dan kemudian endingnya batuk dan mules @REALHUQMY10… https://www.instagram.com/p/Bdbfic6lOiy/ ",948011414869946368, 2c0294c5eab821c9, Coblong, Coblong Indonesia,107.6142103008952,-6.88176745,takdir kabita ken jus avokad plot batuk mulas pajak
16,@nopem_upil, 2018-01-02, 16:30, Tunggu sampe mencret aja biar gg usah ngeden hahaha,948124358362279938, 5121473bdca5dd94, Muara Bangka Hulu, Muara Bangka Hulu Indonesia,102.2989624852146,-3.770094,tunggu ampe mencret aja biar gg ngeden hahaha
17,@KayuagungRadio, 2018-01-02, 08:02, Cara Cepat Sembuhkan Diare http://www.kayuagung.com/2017/12/cara-cepat-sembuhkan-diare.html …,947996533768589312, 5121473bdca5dd94, Muara Bangka Hulu, Muara Bangka Hulu Indonesia,102.2989624852146,-3.770094,cepat sembuh diare aja
18,@novia_178, 2018-01-02, 00:10, Temakan jua akhirnya mie letus.. Walaupun akhirnya sakit perut.. @ Banjarmasin https://www.instagram.com/p/Bdaiui0Fm35/ ,947877706343084033, 67ee4e65b49cb758, Kalimantan Selatan, Kalimantan Selatan Indonesia,115.51599417801836,-2.74566825,temak jua kopyok letus sakit perut banjar
19,@ridzky__, 2018-01-02, 09:55, yaaaaaa sudah 5 kali ke km tp masih mules jg,948024853260406785, 7bfe8fb3236f3c41, Banyudono, Banyudono Indonesia,110.69727611028802,-7.5370065,yaaaaaa  kali tuju km tp mulas jg
20,@RizqiFitriaaa, 2018-01-02, 09:06, oke hari kedua di tahun 2018 air pam di rumah mati dan ku mules. apakah ini suatu pertanda awal tahun diawali dgn yg mules22 :(,948012467703111680, 6791341b86965709, Majalaya, Majalaya Indonesia,107.74799309634943,-7.0345405,oke sidi  air paip sidi rumah mati mu mulas tanda yg kembung
21,@irosmadewi, 2018-01-02, 09:06," . .. Takdirnya  ""kabita""  pengen juice alpukat dan kemudian endingnya batuk dan mules… https://www.instagram.com/p/BdbgB0dliq-/ ",948012497965117441, 2c0294c5eab821c9, Coblong, Coblong Indonesia,107.6142103008952,-6.88176745,takdir kabita ken jus avokad plot batuk cape
22,@irosmadewi, 2018-01-02, 09:11," . Takdirnya  ""kabita""  pengen juice alpukat dan kemudian endingnya batuk dan mules @REALHUQMY10… https://www.instagram.com/p/BdbgsHllj_s/ ",948013945624854529, 2c0294c5eab821c9, Coblong, Coblong Indonesia,107.6142103008952,-6.88176745,takdir kabita ken jus avokad plot batuk mulas pajak
23,@bangemhafidz, 2018-01-03, 06:54, Seribut-ributnya partai dan paslon  bikin kita sakit perut  lucu  habis itu baikkan dan membiarkan pendukungnya saling hujat di medsos ,948341876913876992, b2550dffaa151c81, Semin, Semin Indonesia,110.74173068936935,-7.8594775,ribu partai nara bikin sakit perut lucu habis biar dukung hujat sidi media
24,@fitryfee3, 2018-01-03, 13:40, Maag + diare plus my period. Malah di-enema kopi. Bayanginlah itu mulesnya kayak apa... ,948444009948577792, 420f122b6bea262c, Lemahabang, Lemahabang Indonesia,107.18428703876046,-6.2976855,gastritis diare plus jap start dienema kopi bayangkari lemes kayak
25,@mrsnurianto_, 2018-01-03, 10:26, Tiap tahun selalu begini. Maag plus diare sangking kebanyakan brenebon sama babi. Emang dasar babi.. ,948395129013858304, a16960bb7a9f824c, Wenang, Wenang Indonesia,124.87449859370486,1.47326055,gastritis plus diare saking rebon babi emang dasar babi
26,@asmeemilan, 2018-01-03, 12:14, Sandra dewi lagi mules-mules pembukaan tiga ajah masih tjakep gitu.,948422285576224768, 849e167064f094d2, Tanjung Priok, Tanjung Priok Indonesia,106.87786932786379,-6.1299044,sandra dewi cape buka aja tjakep aja
27,@nitha_kaka22, 2018-01-03, 07:49, Kelakuan hanyang n om kaist bikin sakit perut kak  ,948355636814692352, 5dbc34a8e425f76e, Cirebon Utara, Cirebon Utara Indonesia,108.53642259082493,-6.6801015,laku n om kaisar bikin sakit perut kak
28,@azizramlieadam, 2018-01-03, 23:32," Jangan kebanyakan  ntar mencret.   Gue jadi pengen bikin gituan juga. Tapi ""Cicil Skripsi"" gue ganti jadi... Cicil Perasaan Doi~",948592858457501696, 62f9f7941af63107, Tebet, Tebet Indonesia,106.85685564264601,-6.225841900000002,entar mencret gue ken bikin cicil skripsi gue ganti cicil doi
29,@adelliam__, 2018-01-03, 22:09, masa nahan ngantuk jadi sakit perut ginj,948572142727135233, c34269d2824fd138, Padang Barat, Padang Barat Indonesia,100.3587567644907,-0.9457322,tahan antuk sakit perut ginjal
30,@DidiCahya, 2018-01-03, 08:06, Siap2 mencret ya kalau ngelibatin aku dlm Tim...,948359776102002688, a933df63601f2338, Rungkut, Rungkut Indonesia,112.8040266405806,-7.314341000000001,mencret ya batin tim
31,@inginkurus_, 2018-01-03, 22:44, Tuhan bersama orang yang enak-enak nonton film terus mules dadakan ,948580726814863360, ac26e62c305026f8, Pakis, Pakis Indonesia,112.69521436873724,-7.9612845000000005,allah bareng orang nak tonton film mulas dada
32,@iskandarjet, 2018-01-03, 22:47, Bikin mules ndoro.. lantik orangnya kurang surpei,948581595677564929, 4cb9dedf236475ad, Jagakarsa, Jagakarsa Indonesia,106.82795154196195,-6.332802,bikin mulas ndoro lantik orang surplus
33,@BMudiono, 2018-01-04, 07:38, Apa ga mules tuh cing?,948715109391593472, 6f2e900996f3ee5a, Koja, Koja Indonesia,106.91146300301916,-6.120288400000001,gue mulas nih cing
34,@Nuelsitanggang, 2018-01-04, 07:27, Diketawain orang kampung sini kalo tau disana pada beli air mentah setengah juta lebih karena embel-embel alami. Diare juga alami sih fyi. ,948712433945780224, 62085bb964749eb8, Medan Johor, Medan Johor Indonesia,98.65854373271,3.53873075,orang kampung kalo tau beli air mentah teng juta tembel alami diare alami sih oke
35,@CoklatHangatt, 2018-01-04, 06:20, Teh hijau sukses buat mules dan males sarapan...,948695503520153600, cf1c1c15bb686413, Ilir Barat I, Ilir Barat I Indonesia,104.6984523465215,-2.9714635,teh hijau sukses mulas malas sarap
36,@Mobistrimi, 2018-01-04, 09:47, Jd inget istilah jajanan jaman lawas bang...gomen  gopek mencret ,948747572046266369, 7c6372d4d321b256, Tamansari, Tamansari Indonesia,106.82399764047709,-6.145419349999999,jd istilah jajan jaman lawas kagum gopek mencret
37,@ununulil, 2018-01-04, 00:37, jibrug  banjir dan mencret yaituh kombinasi yg sangat fareasi.,948609231351029760, f0e3be87736a7a05, Padalarang 1, Padalarang 1 Indonesia,107.60254829977802,-6.974098,terucukan banjir mencret kombinasi yg rekreasi
38,@Md_Rina, 2018-01-04, 11:32, mules liat revisian segini banyaknya. Berasa jadi cinderella upik abu,948774137337561088, a933df63601f2338, Rungkut, Rungkut Indonesia,112.8040266405806,-7.314341000000001,mulas liat revisi gin asa main upik abu
39,@riasnurulsuci, 2018-01-04, 07:32, Ternyata mungkin mules masuk angin,948713746821607424, a1ef5f877e4cf7d5, Katapang, Katapang Indonesia,107.55696790933528,-7.002456499999999,nyata mulas masuk angin
40,@dzikriapratama, 2018-01-04, 12:29, lakoni ae seng onok.. aku tak ngeseng sek.. (mendadak mules) ,948788377922359296, 31569f33fbe4e733, Lowokwaru, Lowokwaru Indonesia,112.60684962877414,-7.943314999999999,lakon ae seng upam seng sek dadak mulas
41,@ri2ndrie, 2018-01-04, 09:44, Badan mendadak menggigil  dingin sampe menusuk tulang! Tapi muka panas kaya kebakar  demam! Mual  sakit perut!  Ini gejala opo yo?  ,948746954091126784, 59e031efd725e302, Bekasi, Bekasi Jawa Barat,107.13790623456605,-6.1992165,badan dadak gigil dingin ampe tusuk tulang muka panas kaya bakar demam mual sakit perut gejala opo yo
42,@wieratam4, 2018-01-04, 13:29, Mules pak lik  iyo pak lik,948803670249947136, 5b36eee86ae311f6, Tempel, Tempel Indonesia,110.32256133039064,-7.6599179999999985,mules mas lik mok mas lik
43,@rhssa_, 2018-01-04, 02:13, Memutuskan baca novel aja karena nggak sengaja ngestalking terus kadi sakit perut. Oh ah oh anu,948633394153381888, c3d9538999c8f655, Cimahi Selatan, Cimahi Selatan Indonesia,107.53667894827649,-6.9068565500000005,putus baca novel aja sengaja ngestalking kadi sakit perut oh tawadu oh anu
44,@dwiiaprillia, 2018-01-04, 19:26, Masih kebayang-bayang bagian akhir film AAC2 tadi  gak terlalu nakutin tapi bagiku bikin mules.,948893487084154880, 36cb70a6b6dc142a, Borobudur, Borobudur Indonesia,110.19207195544216,-7.612787,bayang film gila takut bikin mulas
45,@retnoyuliantika, 2018-01-04, 15:01, Abis makan  mules. Abis ngopi  mules. Heran gue!,948826650736668672, 25f5e9dbc1b635ac, Gambir, Gambir Indonesia,106.82605578723835,-6.168961,abis makan mulas abis kopi mulas heran gue
46,@sylvia_soekotjo, 2018-01-04, 16:56, Kalau ngga karena diare  mana sanggup turun 3kg hanya dalam waktu kurang dr 48 jam.,948855696514150400, d753c2420f2a8da5, Cilandak, Cilandak Indonesia,106.8022659220577,-6.29272805,diare sanggup turun kg sport  jam
47,@LaLuz22, 2018-01-04, 16:29, Selemah lemahnya umat lah gue. Kipas anginan dikit langsung masuk angin mules-mules ,948848757164015616, 65d663f269ad2f97, Kajen, Kajen Indonesia,109.57092626327558,-7.0564350000000005,lat lemah umat gue kipas angin dikit langsung masuk angin cape
48,@ArthelianaSH, 2018-01-04, 20:39, Sudah mapan dikasur  selimutan dan siap tidur. Tiba-tiba mules adalah sebenar-benarnya ujian hidup.,948911775952457728, 2085497e9f491e5a, Cianjur, Cianjur Jawa Barat,107.07754103245304,-7.0488184999999985,mapan kasur limut tidur mulas uji hidup
49,@miawariesta, 2018-01-04, 20:40, Krl ketahan di middle of nowhere gaada stasiun terdekat dan gue diare. Nggak ada batu :(,948911941921128448, 6c1ede2df1be1e0d, Matraman, Matraman Indonesia,106.87105875175106,-6.204330000000001,krl tahan sidi middle of buku sok stasiun gue diare batu
50,@natad_, 2018-01-05, 06:53, aduh diare,949066189895909376, 2cd5efeb7102867f, Grogol Petamburan, Grogol Petamburan Indonesia,106.79070212617808,-6.1618445,aduh diare
51,@baypraz, 2018-01-05, 05:47, Jarang banget kebangun pagi langsung mules kebelet pup.   Selamat pagii!!,949049728271962117, a15ecd30e108f0f5, Kartosuro, Kartosuro Indonesia,110.74905776235859,-7.55958515,jarang banget bangun pagi langsung mulas kebelet bab selamat pagi
52,@jaeminnamon, 2018-01-05, 05:36, KNP INI GUE SAKIT PERUT JUGA AH,949047017845608448, 8cee089b23296e32, Jatiasih, Jatiasih Indonesia,106.95332798188623,-6.295911,bar sakit buncit baca syar
53,@putridwiri, 2018-01-05, 15:00, Diare gk mari2 ,949188739267358720, 9353e81191ea3659, Godean, Godean Indonesia,110.29615114762986,-7.765384,diare gk pari
54,@HarunsAzel, 2018-01-05, 14:02, Duh mules..kayanya cepirit nih..itu location berak kapur dimana?  #fittedsunday #speedtuner @… https://www.instagram.com/p/BdjwUk5B1hV/ ,949174228561018880, 019ffe0a3471b036, Tanah Abang, Tanah Abang Indonesia,106.81773603395331,-6.2016105,duh linu pirit jasa location berak kapur fittedsunday speedtuner aja
55,@eririenini, 2018-01-05, 15:54, Rapatt tp mules ,949202340816461825, 019ffe0a3471b036, Tanah Abang, Tanah Abang Indonesia,106.81773603395331,-6.2016105,rapat tp mulas
56,@rikanadiawr, 2018-01-05, 11:21, Dari kmrn mules banget  tp eeknya seuprit  Awal tahun ngeluh mulu nih gua!,949133664591360002, 2e1008fd77a5b1bf, Pondokgede, Pondokgede Indonesia,106.92829516093106,-6.2931675,kemarin mulas banget tp sek iprit keluh nih gua
57,@rikaarbiyan, 2018-01-05, 10:02, dua hari belakangan  mules ,949113789521174528, 87eeb481718bb62c, Trenggalek, Trenggalek Indonesia,111.71793124935196,-8.0455675,mulas
58,@alfinasqoir1, 2018-01-05, 08:35, Mules adalah alarm paling mujarab hehue,949091861125189633, ba813e1492a1bbcc, Plemahan, Plemahan Indonesia,112.15450648557459,-7.7228509999999995,mules alarm mujarab idulfitri
59,@WRychaa, 2018-01-05, 20:05, Kalo disuruh milih mending sakit kepala atau sakit perut  ngga ada deh dua2nya rika pilih. Kalo bisa milih yah diberikan kesehatan saja sama Allah swt.. aamiin ,949265678409674752, c92f9874643f3751, Bulukumba, Bulukumba Sulawesi Selatan,120.24240704601559,-5.452916200000001,pilih mending sakit kepala sakit perut deh erik pilih pilih aja sehat tuhan allah aamiin
60,@ssulistiyono, 2018-01-05, 18:30, Mules massal? Karena kapolri? *duhhhh ,949241735086878721, 31e4594e7a7e7e89, Pasar Rebo, Pasar Rebo Indonesia,106.8616602208678,-6.3283165,mules massal polisi duhhhh
61,@daenklee, 2018-01-05, 18:34, Ayo Mules bareng mbah. Biar kelihatan dah percaya ma pulisi.,949242634379304961, 3ca381967d8f4c1d, Maluku, Maluku Indonesia,126.65569742737915,-3.4589015,ayo mules bareng mbah biar dah percaya ma pul
62,@NeeYuChan, 2018-01-05, 18:05, Jangan di geser  ntr mules   #holiday #liburan  #bandung #kebon #kebun #taman  #alam #nature… https://www.instagram.com/p/BdkMLe6DSs5/ ,949235488472403968, d04153eab7badc97, Lembang, Lembang Indonesia,107.66986096467596,-6.81347665,sidi geser oke mulas holiday libur bandung kebon kebun taman alam natur
63,@sherlynovily, 2018-01-05, 21:11, Diare ini menyiksaku,949282220719587329, 32eb831712cde417, Tampan, Tampan Indonesia,101.37126350987259,0.47483100000000006,diare siksa
64,@widedewisartika, 2018-01-05, 17:46, Lagi magh ditambah diare juga. Ntapsss,949230599872552962, 4bc04832d2c51ea2, Kendari, Kendari Indonesia,122.57252833763563,-3.9579441,muntah diare ntapsss
65,@jayplankt, 2018-01-05, 10:22, Otaknya mencret ,949118881368481793, da02fd68ba12d8e8, Sukasari, Sukasari Indonesia,107.58904644830034,-6.8603106,otak mencret
66,@nurieswdy, 2018-01-05, 07:57, Kemaren sore makan geprek cabe nya 10 lgsg mencret. Pdhl ga pedes. Kelamaan di jogja lambung makin ga kuat nerima makanan2 pedes.,949082477502410752, 0101781eef585ee9, Yogyakarta, Yogyakarta Indonesia,110.41343442386848,-7.874352,kemarin sore makan suwir cabe  mencret gue pedas kelam sidi jogja lambung gue kuat terima makan pedas
67,@dinaslhdki, 2018-01-05, 19:07, Pengambilan sample mikrobiologi e coli & klorifom didanau sunter menggunakan botol steril ,949251000119865345, 1c47ecb998af2c16, Cipayung, Cipayung Indonesia,106.91229190907136,-6.3306495,ambil sampel mikrobiologi e coli klorifom danau takung pakai botol steril
68,@rajuljul, 2018-01-06, 09:12, Aduuh sakit perut  ketopraknya kepedesan ,949463757930905600, 8cee089b23296e32, Jatiasih, Jatiasih Indonesia,106.95332798188623,-6.295911,aduuh sakit perut ketoprak pedas
69,@ignatiusbanu, 2018-01-06, 00:32, fak . malem2 perut mules bolak balik toilet . terindikasi diare sodara2 ,949332670458216448, 408ad88ee0345f7d, Depok, Depok Indonesia,110.40824265575323,-7.76769565,fak maleman perut mulas bolak toilet indikasi diare saudara
70,@alfajri221810, 2018-01-06, 08:32, Minum Obat dulu gih @LusiHQ jangan mencret dimana-mana bau tau... ,949453682273234945, f50436e042d3f6a6, Mandonga, Mandonga Indonesia,122.48510355040314,-3.9841273,minum obat gih lusihq mencret bau tau
71,@IWahyuningsi, 2018-01-06, 13:34, Majikan pergi di rumah gk ada apa 2mentang2pembantu habis gajian gak di tinggalin uang  pembantu udah ngalah beli sampo sama sabun sendiri lama2tambah gk ngasih2 uang mencret bget ya ada majikan gitu bikin emosi aja,949529700447088641, 6c1ede2df1be1e0d, Matraman, Matraman Indonesia,106.87105875175106,-6.204330000000001,majikan pergi sidi rumah gk mentangpembantu habis gaji sidi tinggal uang bantu uda kalah beli sampo sabun gk asih uang mencret ya majikan aja bikin emosi aja
72,@BKIPMMakassar, 2018-01-06, 23:27, 6/1 09:47 Preparasi pengujian terhdp sampel mutu untuk uji salmonella  coliform dan e.coli di lab penguji #OneHealthKIPM,949678716254273537, ce7988d3a8b6f49f, Indonesia, Indonesia,113.33412818144043,0.11379699999999993,  preparat uji hadap sampel mutu uji salmonela coli coli sidi lab uji onehealthkipm
73,@mnurkholiq_f, 2018-01-06, 21:50, Gara-gara ini mencret gue sketika berubah jadi sembelit. Njenx ,949654447604445184, dd8d1536e7bb3590, Bandar, Bandar Indonesia,109.78738527380794,-7.075811999999999,garah mencret gue ubah sembelit idulfitri
74,@ajiijah_, 2018-01-06, 21:32, Tiap makan pedes langsung mules ,949649953768357889, c23a5ae63324c567, Kelapa Gading, Kelapa Gading Indonesia,106.90964860021738,-6.1591025,makan pedas langsung mulas
75,@YuliatinLia, 2018-01-06, 20:04, Bikin sakit perut #JODOHWASIATBAPAK421 @akangobet @SeriesANTV,949627816412266501, 3cc53ab40905a970, Cicendo, Cicendo Indonesia,107.58574224532632,-6.9012880999999995,bikin sakit perut idulfitri lerak seriesantv
76,@cindyartha, 2018-01-07, 23:58, Ide bagus! Siapin obat diare aja tapi yak,950049081853804551, 2e1008fd77a5b1bf, Pondokgede, Pondokgede Indonesia,106.92829516093106,-6.2931675,gagas bagus obat diare aja aja
77,@kelimuttu, 2018-01-07, 12:26, Dua hari ini sakit perut berturut-turut gegara semalem makan mie pedes. I feel like a hero losing her power. Kemana Kiki yang doyan sambel? What's wrong with my belly? ,949874924096708608, 9b11deddbe010e5d, Mampang Prapatan, Mampang Prapatan Indonesia,106.82973203344223,-6.2529575,sakit perut gegar maleman makan kopyok pedas eselon cape like a hero losing his watt takziah doyan sambal whats wrong with jap belly
78,@hadyanation48, 2018-01-07, 18:47, Itu artinya perut kamu udah mulai ga bisa nahan pedes  jadi kalo kita makan pedes  perutnya otomatis langsung mules,949970846570856448, d74066a958870db1, Kebayoran Lama, Kebayoran Lama Indonesia,106.78563265281248,-6.2498520000000015,arti perut uda gue tahan pedas kalo makan pedas perut otomatis langsung mulas
79,@videlisurspon7, 2018-01-07, 23:19, Kenapa tiap perut gw mules bawaannya pengen rekob.,950039219526758401, 555b2219c414bc99, Bekasi Barat, Bekasi Barat Indonesia,106.9806262005378,-6.201172,perut gue mulas bawa ken rekob
80,@HarunsAzel, 2018-01-07, 12:42, Kalo lagi mencret  cobain pake minyak kayu putih sebelum tidur. Tapi tetep minum obat ya  supaya… https://www.instagram.com/p/Bdowt8jhZ12/ ,949878782457929728, bf01cad1aa4e7bed, Bekasi Selatan, Bekasi Selatan Indonesia,106.98589472437752,-6.2358325,mencret coba pakai minyak kayu putih tidur minum obat ya
81,@FTanjungsarii, 2018-01-07, 10:51, Pms = sakit pinggang sakit perut gini kebiasaan yang dirasain wanita,949850925706788865, 3e894af61737bff0, Cibitung, Cibitung Indonesia,107.12001220457644,-6.242402500000002,pms sakit pinggang sakit perut bias wanita
82,@tegarmyp, 2018-01-07, 02:15, Ini kayanya efek dari makan 1 pizza sendiri ._. jadi sakit perut,949721066364006400, 4dd22d92dd19a977, Cilengkrang, Cilengkrang Indonesia,107.72627565303803,-6.8702493,kayak efek makan  hamburger sakit perut
83,@rhssa_, 2018-01-07, 21:12, Itu pas mau njogja gasih? Wkwk. Langsung beli 1 strip diapet langsung telen semua haha,950007357760663552, c3d9538999c8f655, Cimahi Selatan, Cimahi Selatan Indonesia,107.53667894827649,-6.9068565500000005,pas njogja gas wkwk langsung beli  strip apkir langsung teleng haha
84,@awanitem, 2018-01-07, 07:25, Wkwkwk trus mules kabeh yo mbak ,949799061770534912, 1fe76584de4c3646, Bantul, Bantul Indonesia,110.33736952530063,-7.890592,wkwkwk kalo mulas mawon yo mbak
85,@puzzle_ina, 2018-01-08, 09:40, Hubungan Tuberkulosis dengan HIV Bagai 2 Sisi Mata Uang http://lampung.tribunnews.com/2017/12/26/hubungan-tuberkulosis-dengan-hiv-bagai-2-sisi-mata-uang … lewat @tribunlampung_,950195351675285504, d16052cf1200267a, Menteng, Menteng Indonesia,106.84217356555288,-6.190237000000001,hubung tuberkulosis apositif  sisi mata uang aja bandar
86,@Alif68330369, 2018-01-08, 10:35, Wuahahaha ... iya  obat sakit perut merek; KENCING ONTA  Produksi wanabud. Ltd.,950209221324242945, 4aa91b076d52c31e, Poso Kota, Poso Kota Indonesia,120.75019845732592,-1.41365445,wuahahaha iya obat sakit perut merek nanah tuna produksi wana limit
87,@WindyAprln, 2018-01-08, 12:44, Ah yaaaa hahaha. Urg sakit perut kalau ketawa hahaha.,950241726395924480, dae51184e7fac9bd, Parompong, Parompong Indonesia,107.59498406214199,-6.79575525,ah yaaaa hahaha trans sakit perut ketawa hahaha
88,@si_endra, 2018-01-08, 11:44, Dan membuat mules wetengku ,950226771550527488, c1ed59e165fb9a34, Mertoyudan, Mertoyudan Indonesia,110.20243396707373,-7.544830499999999,mulas tengku
89,@Alif68330369, 2018-01-08, 10:25, Hati2 loh kalo sakit perut beneran. Wanabud balik terbahak-bahak ... ,950206894563409920, 4aa91b076d52c31e, Poso Kota, Poso Kota Indonesia,120.75019845732592,-1.41365445,hati loh kalo sakit perut wana bahak
90,@Alif68330369, 2018-01-08, 10:52, Entah salah tulis ato karna memang kepingin sekali jagoannya menjadi presiden sehingga lupa pilpres itu di thn 2019  ibu ini m'inginkan prabowo jadi presiden di thn 20019  Gak tahan pingin ketawa  tapi takut sakit perut. Ntar kalo sakit perut  ditawari lagi dng obat KENCING ONTA ,950213705232363520, 4aa91b076d52c31e, Poso Kota, Poso Kota Indonesia,120.75019845732592,-1.41365445,salah tulis ato kepingin jago presiden lupa milu sidi  prabowo presiden sidi  tahan ken ketawa takut sakit perut entar kalo sakit perut tawar obat nanah tuna
91,@Jackelkotjo, 2018-01-08, 20:36, Tertawa sesuai kondisi...membuat awet muda loh...pasti kebablas donk kalau tertawa..bisa sakit perut or ke belakang karena gak tahan....,950360583106260994, 6066956b38a2b2d9, Pancoran Mas, Pancoran Mas Indonesia,106.81524535347694,-6.3944565,tertawa sesuai awet muda auk bablas tertawa sakit perut or tuju tahan
92,@DaniWaldanI, 2018-01-08, 19:31, Diare  mual  mulut pait  gak nafsu makan :(,950344173634314240, 66555622726ab358, Setia Budi, Setia Budi Indonesia,106.8350755724146,-6.2213485,diare mual mulut pahit nafsu makan
93,@YuliatinLia, 2018-01-08, 09:59, Habis makan baso pada sakit perut dan pusing #MTBANTVEPS80 @akangobet @SeriesANTV,950200321581621249, 3cc53ab40905a970, Cicendo, Cicendo Indonesia,107.58574224532632,-6.9012880999999995,habis makan bakso sakit perut pusing mtbantveps lerak seriesantv
94,@fitrianggraini, 2018-01-08, 15:02, Kalo disitu emg seringnya dikasih yg paten  kayak aku kmrn cuma beli ondan + lansoprazole + oralit aja habis hampir 300k  lsg gajadi beli :( coba cari di apotek yg agak gede deh. Yg generik cm 17-20rban ya kl ga salah..,950276599219302400, 2e1008fd77a5b1bf, Pondokgede, Pondokgede Indonesia,106.92829516093106,-6.2931675,situ sok kasi yg paten kayak kemarin beli dondang lansoprazole oralit aja habis k lsg gajah beli coba cari sidi apotek yg gede deh generik cm rban ya gue salah
